nodeid,name,parentnodeid,nodetype,nodeclass,parentrelation,context,identifier,description
java:309,go,java:903,concept,concept,subconcept of,java software programming,,go: java software programming: web programming
java:310,go,java:681,concept,concept,subconcept of,java software programming,,go: java software programming: web programming
java:311,go-runtime,java:38,concept,concept,subconcept of,google appengine,,go runtime: google appengine: web programming
java:312,goals,java:669,concept,concept,subconcept of,maven java programming,,goals: maven java programming: web programming
java:313,google-appengine,java:631,concept,concept,subconcept of,java software programming,,google appengine: java software programming: web programming
java:314,google-blobstore,java:191,concept,concept,subconcept of,google appengine,,google blobstore: google appengine: web programming
java:315,google-cloud-sql,java:191,concept,concept,subconcept of,google appengine,,google cloud sql: google appengine: web programming
java:316,google-cloud-storage,java:191,concept,concept,subconcept of,google appengine,,google cloud storage: google appengine: web programming
java:317,google-guava-collections,java:523,concept,concept,subconcept of,java software programming,,google guava collections: java software programming: web programming
java:318,google-paas,java:313,concept,concept,subconcept of,google appengine,,google paas: google appengine: web programming
java:319,governance,java:711,concept,concept,subconcept of,java software programming,,governance: java software programming: web programming
java:320,graph,java:187,concept,concept,subconcept of,java software programming,,graph: java software programming: web programming
java:321,graph-database,java:320,concept,concept,related,java software programming,,graph database: java software programming: web programming
